date,precip_mm,temp_avg_c,temp_max_c,temp_min_c
2022-01-01,19.3,11.6,13.9,10.0
2022-01-02,1.0,11.4,15.6,3.9
2022-01-03,0.0,1.4,3.9,-4.3
2022-01-04,0.0,-2.7,2.2,-6.0
2022-01-05,6.1,3.2,8.9,0.0
2022-01-06,0.0,4.9,6.1,2.2
2022-01-07,8.4,0.7,2.2,-2.1
2022-01-08,0.0,-2.5,0.0,-4.9
2022-01-09,2.8,1.4,5.6,-1.0
2022-01-10,0.0,1.6,5.6,-3.2
2022-01-11,0.0,-5.4,-3.2,-8.2
2022-01-12,0.0,-1.9,5.6,-6.6
2022-01-13,0.0,4.0,7.8,0.6
2022-01-14,0.0,4.8,6.1,-5.5
2022-01-15,0.0,-6.7,-5.5,-10.5
2022-01-16,9.1,-8.0,4.4,-12.1
2022-01-17,26.9,3.9,7.8,1.7
2022-01-18,0.0,1.8,3.3,-0.5
2022-01-19,0.0,3.2,10.6,-1.6
2022-01-20,6.4,5.1,8.3,-4.9
2022-01-21,0.0,-6.0,-4.9,-9.3
2022-01-22,0.0,-5.9,-1.0,-9.9
2022-01-23,0.3,-0.7,3.3,-3.2
2022-01-24,0.0,-0.2,3.3,-2.1
2022-01-25,0.0,3.6,6.1,-1.0
2022-01-26,0.0,-2.3,-1.0,-6.0
2022-01-27,0.0,-4.2,0.0,-7.7
2022-01-28,2.8,0.1,1.7,-1.0
2022-01-29,12.4,-4.8,-1.0,-9.3
2022-01-30,0.0,-7.1,-2.7,-9.9
2022-01-31,0.0,-3.4,-1.0,-7.1
2022-02-01,0.0,-1.7,2.8,-4.3
2022-02-02,0.0,2.3,5.6,-0.5
2022-02-03,10.7,6.4,8.9,3.9
2022-02-04,18.8,5.8,12.8,-2.1
2022-02-05,0.0,-2.8,-1.6,-6.0
2022-02-06,0.0,-4.8,0.0,-8.2
2022-02-07,3.8,0.5,4.4,-0.5
2022-02-08,2.0,4.1,8.3,1.1
2022-02-09,0.0,2.8,6.7,-0.5
2022-02-10,0.0,6.3,13.3,1.1
2022-02-11,0.0,8.6,13.3,2.8
2022-02-12,0.0,11.8,15.6,5.6
2022-02-13,4.8,2.8,5.6,-3.2
2022-02-14,0.0,-4.3,-2.7,-7.7
2022-02-15,0.0,-4.7,0.0,-7.7
2022-02-16,0.0,1.6,8.3,-2.7
2022-02-17,7.6,11.6,17.2,8.3
2022-02-18,6.4,9.9,17.2,-2.1
2022-02-19,0.0,0.1,5.0,-3.8
2022-02-20,0.0,-2.6,2.2,-5.5
2022-02-21,0.0,4.1,12.2,0.6
