date,daily_trips
2022-11-19,2075
2022-11-20,1460
2022-11-21,1941
2022-11-22,2318
2022-11-23,2252
2022-11-24,1160
2022-11-25,1290
2022-11-26,1746
2022-11-27,1075
2022-11-28,2202
2022-11-29,2346
2022-11-30,1751
2022-12-01,2349
2022-12-02,2391
2022-12-03,1454
2022-12-04,1995
2022-12-05,2194
2022-12-06,1565
2022-12-07,2117
2022-12-08,2568
2022-12-09,2322
2022-12-10,1989
2022-12-11,1053
2022-12-12,1776
2022-12-13,1935
2022-12-14,1950
2022-12-15,1334
2022-12-16,843
2022-12-17,1896
2022-12-18,1524
2022-12-19,1545
2022-12-20,1760
2022-12-21,1886
2022-12-22,1304
2022-12-23,693
2022-12-24,345
2022-12-25,245
2022-12-26,591
2022-12-27,1049
2022-12-28,1399
2022-12-29,1601
2022-12-30,1929
2022-12-31,983
